2021-06-27 22:06:16 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:792 INFO  DesktopPage :62 - Clicking books link : [[ChromeDriver: chrome on WINDOWS (3a15fa31f65ad169fde82bee7dcd8188)] -> link text: Books]
2021-06-27 22:06:845 INFO  DesktopPage :76 - Verify user navigate to books page successfully : [[ChromeDriver: chrome on WINDOWS (3a15fa31f65ad169fde82bee7dcd8188)] -> partial link text: Digital downloads]
2021-06-27 22:06:703 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:509 INFO  DesktopPage :68 - Clicking on jewelry link : [[ChromeDriver: chrome on WINDOWS (beb10326baed1c8aef6f60105efeff9f)] -> link text: Jewelry]
2021-06-27 22:06:570 INFO  DesktopPage :81 - Verify user navigate to jewelry page successfully : [[ChromeDriver: chrome on WINDOWS (beb10326baed1c8aef6f60105efeff9f)] -> partial link text: Jewelry]
2021-06-27 22:06:145 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:96 INFO  DesktopPage :74 - Clicking on giftcards link : [[ChromeDriver: chrome on WINDOWS (f4acffd298c890148239b802c8d989f5)] -> link text: Gift Cards]
2021-06-27 22:06:134 INFO  DesktopPage :86 - Verify user navigate to giftcards page successfully : [[ChromeDriver: chrome on WINDOWS (f4acffd298c890148239b802c8d989f5)] -> partial link text: Gift Cards]
2021-06-27 22:06:123 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:515 INFO  DesktopPage :39 - Clicking on computer lin : [[ChromeDriver: chrome on WINDOWS (9ad98142060caf93f204d421e61c9c83)] -> link text: Computers]
2021-06-27 22:06:947 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:444 INFO  DesktopPage :39 - Clicking on computer lin : [[ChromeDriver: chrome on WINDOWS (6356f016b81895bc2d01ce062710b035)] -> link text: Computers]
2021-06-27 22:06:522 INFO  DesktopPage :56 - Verify user navigate to computer page successfully : [[ChromeDriver: chrome on WINDOWS (6356f016b81895bc2d01ce062710b035)] -> partial link text: Computers]
2021-06-27 22:06:962 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:539 INFO  DesktopPage :45 - Clicking on electronics link : [[ChromeDriver: chrome on WINDOWS (30cfe71853a27f827bc6f1ac45444eaa)] -> link text: Electronics]
2021-06-27 22:06:583 INFO  DesktopPage :61 - Verify user navigate to electronic page successfully : [[ChromeDriver: chrome on WINDOWS (30cfe71853a27f827bc6f1ac45444eaa)] -> partial link text: Electronics]
2021-06-27 22:06:587 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:801 INFO  DesktopPage :51 - Clicking on apparel link : [[ChromeDriver: chrome on WINDOWS (c9d45139dd060927c9f6941e6828b2ab)] -> link text: Apparel]
2021-06-27 22:06:851 INFO  DesktopPage :66 - Verify user navigate to apparel page successfully : [[ChromeDriver: chrome on WINDOWS (c9d45139dd060927c9f6941e6828b2ab)] -> partial link text: Apparel]
2021-06-27 22:06:03 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:171 INFO  DesktopPage :57 - Clicking on digital downloads link : [[ChromeDriver: chrome on WINDOWS (16544e90d87444e7c6fb7cbe22a3f8b7)] -> link text: Digital downloads]
2021-06-27 22:06:262 INFO  DesktopPage :71 - Verify user navigate to digitaldownloads page successfully : [[ChromeDriver: chrome on WINDOWS (16544e90d87444e7c6fb7cbe22a3f8b7)] -> partial link text: Digital downloads]
2021-06-27 22:06:648 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:230 INFO  DesktopPage :62 - Clicking books link : [[ChromeDriver: chrome on WINDOWS (092fab8c64459a4a13acda426c06e38d)] -> link text: Books]
2021-06-27 22:06:287 INFO  DesktopPage :76 - Verify user navigate to books page successfully : [[ChromeDriver: chrome on WINDOWS (092fab8c64459a4a13acda426c06e38d)] -> partial link text: Digital downloads]
2021-06-27 22:06:584 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:351 INFO  DesktopPage :68 - Clicking on jewelry link : [[ChromeDriver: chrome on WINDOWS (cb0b5376921466887938137e61615207)] -> link text: Jewelry]
2021-06-27 22:06:412 INFO  DesktopPage :81 - Verify user navigate to jewelry page successfully : [[ChromeDriver: chrome on WINDOWS (cb0b5376921466887938137e61615207)] -> partial link text: Jewelry]
2021-06-27 22:06:795 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:34 INFO  DesktopPage :74 - Clicking on giftcards link : [[ChromeDriver: chrome on WINDOWS (2613134254ed22cead13cca20b04028f)] -> link text: Gift Cards]
2021-06-27 22:06:78 INFO  DesktopPage :86 - Verify user navigate to giftcards page successfully : [[ChromeDriver: chrome on WINDOWS (2613134254ed22cead13cca20b04028f)] -> partial link text: Gift Cards]
2021-06-27 22:06:950 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:494 INFO  DesktopPage :39 - Clicking on computer lin : [[ChromeDriver: chrome on WINDOWS (5abd1d028878335e88ad97f7731675a0)] -> link text: Computers]
2021-06-27 22:06:816 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:580 INFO  DesktopPage :39 - Clicking on computer lin : [[ChromeDriver: chrome on WINDOWS (f73a711c2e70fd8ce09377de06d6290e)] -> link text: Computers]
2021-06-27 22:06:634 INFO  DesktopPage :56 - Verify user navigate to computer page successfully : [[ChromeDriver: chrome on WINDOWS (f73a711c2e70fd8ce09377de06d6290e)] -> partial link text: Computers]
2021-06-27 22:06:76 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:766 INFO  DesktopPage :45 - Clicking on electronics link : [[ChromeDriver: chrome on WINDOWS (a27af92e69a29a2abe691a02ef02406d)] -> link text: Electronics]
2021-06-27 22:06:809 INFO  DesktopPage :61 - Verify user navigate to electronic page successfully : [[ChromeDriver: chrome on WINDOWS (a27af92e69a29a2abe691a02ef02406d)] -> partial link text: Electronics]
2021-06-27 22:06:375 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:539 INFO  DesktopPage :51 - Clicking on apparel link : [[ChromeDriver: chrome on WINDOWS (da855b848e5045fa9bc790808c4fad91)] -> link text: Apparel]
